,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
61,61,0.9695658589817181,2022-03-30 06:27:46.786749,2022-03-30 06:29:29.186183,0 days 00:01:42.399434,0.35923571503090457,1.7394652452037138,lossguide,0.12329774937112023,9.043472861410791,15,24,2.5738222989752346,5.967915806898351,10.215750737594616,0.45753583266930575,COMPLETE
62,62,0.9693044728056447,2022-03-30 06:29:29.192783,2022-03-30 06:31:23.233647,0 days 00:01:54.040864,0.4085185907532175,0.4194685513435632,lossguide,0.13959358709076844,3.588922595977701,13,48,3.7656448467793187,1.3431112182324636,3.130660188087643,0.8474882712855675,COMPLETE
63,63,0.9712864034926635,2022-03-30 06:31:23.235645,2022-03-30 06:34:26.053857,0 days 00:03:02.818212,0.7276071316925561,0.2648148218003237,lossguide,0.2668825641882906,1.2009932383929947,14,7,5.461806331898937,4.674735246581951,4.34458372901584,0.6689169068649827,COMPLETE
64,64,0.9690128408324497,2022-03-30 06:34:26.055847,2022-03-30 06:37:23.997634,0 days 00:02:57.941787,0.5724212982130206,0.46310633717218497,lossguide,0.31321279992820783,1.4445463807128296,15,3,6.778455620968818,6.3148711127437585,7.297347756650368,0.49335742614390027,COMPLETE
65,65,0.9696114933889438,2022-03-30 06:37:23.999671,2022-03-30 06:41:08.874551,0 days 00:03:44.874880,0.7077039004124303,1.3559356213674247,lossguide,0.2412994675151266,1.3029969146422054,11,5,8.009656672080743,3.8840724639528488,1.6910216825512125,0.7557879711506503,COMPLETE
66,66,0.9722729277372405,2022-03-30 06:41:08.876531,2022-03-30 06:45:36.415417,0 days 00:04:27.538886,0.4770797640172175,1.8811836156617139,lossguide,0.034945381523903696,7.5113476226101445,14,7,3.562396521741003,3.513158774691492,5.105719590979486,0.7991426626532299,COMPLETE
67,67,0.9727260951053012,2022-03-30 06:45:36.418083,2022-03-30 06:49:59.242813,0 days 00:04:22.824730,0.6604654918725615,0.2998930171324178,depthwise,0.03591236525702572,4.720835262443072,11,4,4.0525243945675316,3.3926279238250703,3.7386466185211034,0.6795532446730908,COMPLETE
68,68,0.9685614685931694,2022-03-30 06:49:59.244731,2022-03-30 06:52:09.593708,0 days 00:02:10.348977,0.47855586172965336,0.36840817047934304,depthwise,0.37427388800301187,4.971429656877938,7,18,6.133160607289211,2.060576023251107,5.819713584680116,0.8100325367064937,COMPLETE
69,69,0.9713293979422737,2022-03-30 06:52:09.595779,2022-03-30 06:55:14.671860,0 days 00:03:05.076081,0.43246892934354897,2.058557511688738,lossguide,0.14614887397634918,8.422723533735422,12,6,0.35796287487990286,4.180471905885764,9.880285491434652,0.9332283127709722,COMPLETE
70,70,0.9662604913380924,2022-03-30 06:55:14.673785,2022-03-30 06:58:08.197370,0 days 00:02:53.523585,0.37277459439968974,1.7796519149096413,lossguide,0.009677377714181645,6.889974324836103,14,18,2.283837557474537,4.303794354038137,1.7519408154077714,0.8958919302331511,COMPLETE
